case,session,time,phase,outcome
1,1,0,A,6
1,2,1,A,6
1,3,2,A,5
1,4,3,B,7
1,5,4,B,7
1,6,5,B,6
1,7,6,B,7
1,8,7,B,4
1,9,8,B,6
1,10,9,B,6
1,11,10,B,6
1,12,11,B,6
1,13,12,B,6
1,14,13,B,6
2,1,0,A,6
2,2,1,A,6
2,3,2,A,7
2,4,3,B,7
2,5,4,B,6
2,6,5,B,6
2,7,6,B,6
2,8,7,B,7
2,9,8,B,5
2,10,9,B,7
2,11,10,B,5
2,12,11,B,4
2,13,12,B,4
2,14,13,B,7
2,15,14,B,7
2,16,15,B,6
2,17,16,B,7
2,18,17,B,5
2,19,18,B,7
3,1,0,A,6
3,2,1,A,5
3,3,2,A,6
3,4,3,A,7
3,5,4,A,7
3,6,5,A,6
3,7,6,B,6
3,8,7,B,7
3,9,8,B,7
3,10,9,B,6
3,11,10,B,7
3,12,11,B,7
3,13,12,B,7
3,14,13,B,6
3,15,14,B,7
3,16,15,B,7
3,17,16,B,7
4,1,0,A,7
4,2,1,A,5
4,3,2,A,3
4,4,3,A,4
4,5,4,A,6
4,6,5,A,4
4,7,6,A,3
4,8,7,A,6
4,9,8,A,6
4,10,9,A,6
4,11,10,A,7
4,12,11,A,7
4,13,12,B,7
4,14,13,B,7
4,15,14,B,7
4,16,15,B,7
4,17,16,B,7
4,18,17,B,7
